rank,country,earning,players,tournaments
Vainglory,1.,United States,"$267,843.28",45 Players
Vainglory,2.,"Korea, Republic of","$215,603.87",55 Players
Vainglory,3.,China,"$62,807.51",16 Players
Vainglory,4.,Germany,"$54,172.81",29 Players
Vainglory,5.,Russian Federation,"$42,451.62",19 Players
Vainglory,6.,Iraq,"$24,646.99",1 Player
Vainglory,7.,Singapore,"$24,600.14",7 Players
Vainglory,8.,France,"$21,719.82",5 Players
Vainglory,9.,Portugal,"$20,312.49",1 Player
Vainglory,10.,Italy,"$20,072.68",2 Players
Vainglory,11.,Japan,"$18,808.26",15 Players
Vainglory,12.,Canada,"$18,610.67",2 Players
Vainglory,13.,Brazil,"$13,871.34",10 Players
Vainglory,14.,Malaysia,"$11,164.46",2 Players
Vainglory,15.,Sri Lanka,"$11,010.97",1 Player
Vainglory,16.,Viet Nam,"$10,020.50",4 Players
Vainglory,17.,Hong Kong,"$6,287.67",5 Players
Vainglory,18.,Norway,"$3,812.49",1 Player
Vainglory,19.,Ukraine,"$3,770.83",1 Player
Vainglory,20.,Sweden,"$2,704.17",1 Player
Vainglory,21.,"Moldova, Republic of","$2,633.33",1 Player
Vainglory,22.,Netherlands,"$2,462.84",3 Players
Vainglory,23.,Denmark,"$2,433.33",2 Players
Vainglory,24.,Switzerland,"$2,341.67",2 Players
Vainglory,25.,United Kingdom,"$2,083.33",1 Player
Vainglory,26.,Austria,"$1,718.52",2 Players
Vainglory,27.,Algeria,"$1,437.50",1 Player
Vainglory,28.,India,"$1,004.50",1 Player
Vainglory,29.,Thailand,"$1,004.50",1 Player
Vainglory,30.,Philippines,"$1,000.00",1 Player
Vainglory,31.,Uruguay,$910.67,1 Player
Vainglory,32.,"Taiwan, Republic of China",$866.00,5 Players
Vainglory,33.,Turkey,$500.00,4 Players
Vainglory,34.,Finland,$333.33,1 Player
Vainglory,35.,Lithuania,$333.33,1 Player
Vainglory,36.,Czech Republic,$264.81,3 Players
Vainglory,37.,Chile,$200.01,3 Players
Vainglory,38.,Spain,$55.68,3 Players
Vainglory,39.,Poland,$18.29,1 Player
Vainglory,40.,Indonesia,$0.00,3 Players
