rank,country,earning,players
1.,Czech Republic,"$206,867.97",10 Players
2.,Spain,"$135,209.73",34 Players
3.,Germany,"$127,178.80",54 Players
4.,Switzerland,"$119,323.00",49 Players
5.,Italy,"$75,045.21",28 Players
6.,United Kingdom,"$71,022.75",14 Players
7.,Netherlands,"$66,503.16",9 Players
8.,Slovenia,"$35,412.78",3 Players
9.,Poland,"$25,654.59",11 Players
10.,Greece,"$20,354.20",1 Player
11.,France,"$10,418.15",5 Players
12.,Finland,"$10,140.50",1 Player
13.,Australia,"$9,705.00",1 Player
14.,Canada,"$8,024.40",2 Players
15.,North Macedonia,"$7,086.00",1 Player
16.,Turkey,"$6,978.13",2 Players
17.,Croatia,"$5,933.60",1 Player
18.,Hungary,"$4,956.10",3 Players
19.,Lithuania,"$4,119.31",34 Players
20.,Kazakhstan,"$3,000.00",1 Player
21.,United States,"$2,495.05",6 Players
22.,Bulgaria,"$2,015.00",1 Player
23.,Sweden,"$1,600.00",3 Players
24.,Argentina,"$1,163.80",2 Players
25.,Mongolia,"$1,000.00",1 Player
26.,Brazil,$962.90,3 Players
27.,Russian Federation,$623.40,3 Players
28.,Ukraine,$500.00,1 Player
29.,Latvia,$352.46,6 Players
30.,Estonia,$177.40,2 Players
31.,Belarus,$100.00,1 Player
32.,Puerto Rico,$100.00,1 Player
33.,Slovakia,$96.83,2 Players
34.,Georgia,$85.30,2 Players
35.,South Africa,$40.80,1 Player
36.,Ireland,$28.25,1 Player
37.,Lebanon,$25.50,1 Player
38.,Indonesia,$24.40,1 Player
39.,Algeria,$22.60,1 Player
40.,Monaco,$1.17,1 Player
