rank,country,earning,players,tournaments
Apex Legends,1.,United States,"$7,328,020.29",648 Players
Apex Legends,2.,Australia,"$1,508,467.26",95 Players
Apex Legends,3.,Japan,"$1,288,629.26",221 Players
Apex Legends,4.,"Korea, Republic of","$1,147,325.44",68 Players
Apex Legends,5.,United Kingdom,"$688,323.67",77 Players
Apex Legends,6.,Brazil,"$649,844.55",114 Players
Apex Legends,7.,Canada,"$616,411.74",48 Players
Apex Legends,8.,Russian Federation,"$614,755.35",77 Players
Apex Legends,9.,Thailand,"$558,619.14",62 Players
Apex Legends,10.,Sweden,"$451,609.20",44 Players
Apex Legends,11.,France,"$365,159.69",71 Players
Apex Legends,12.,Denmark,"$348,382.79",23 Players
Apex Legends,13.,Indonesia,"$312,782.02",40 Players
Apex Legends,14.,Germany,"$304,697.34",66 Players
Apex Legends,15.,Portugal,"$240,413.64",8 Players
Apex Legends,16.,China,"$209,947.50",71 Players
Apex Legends,17.,"Taiwan, Republic of China","$181,987.32",99 Players
Apex Legends,18.,Mexico,"$181,535.68",19 Players
Apex Legends,19.,Chile,"$170,712.48",25 Players
Apex Legends,20.,Belarus,"$160,302.27",6 Players
Apex Legends,21.,Argentina,"$145,547.96",37 Players
Apex Legends,22.,Turkey,"$140,807.34",43 Players
Apex Legends,23.,Ukraine,"$139,421.10",6 Players
Apex Legends,24.,Croatia,"$132,026.99",2 Players
Apex Legends,25.,Finland,"$131,472.15",24 Players
Apex Legends,26.,Poland,"$120,397.55",22 Players
Apex Legends,27.,Spain,"$89,898.38",22 Players
Apex Legends,28.,Norway,"$73,808.16",16 Players
Apex Legends,29.,Italy,"$69,941.14",26 Players
Apex Legends,30.,Iraq,"$44,816.90",1 Player
Apex Legends,31.,Netherlands,"$41,458.59",23 Players
Apex Legends,32.,Colombia,"$40,777.99",18 Players
Apex Legends,33.,Ireland,"$38,682.60",6 Players
Apex Legends,34.,Hong Kong,"$27,122.88",23 Players
Apex Legends,35.,Czech Republic,"$25,447.77",10 Players
Apex Legends,36.,Malaysia,"$21,674.66",8 Players
Apex Legends,37.,South Africa,"$21,410.00",11 Players
Apex Legends,38.,Slovenia,"$18,903.34",1 Player
Apex Legends,39.,Austria,"$18,903.25",4 Players
Apex Legends,40.,Saudi Arabia,"$18,626.67",11 Players
Apex Legends,41.,Bosnia and Herzegovina,"$13,665.00",3 Players
Apex Legends,42.,Singapore,"$11,423.44",10 Players
Apex Legends,43.,Belgium,"$10,593.43",6 Players
Apex Legends,44.,Peru,"$10,209.17",4 Players
Apex Legends,45.,Switzerland,"$9,702.33",2 Players
Apex Legends,46.,United Arab Emirates,"$8,243.33",4 Players
Apex Legends,47.,Philippines,"$6,798.99",7 Players
Apex Legends,48.,Hungary,"$5,650.00",5 Players
Apex Legends,49.,Israel,"$4,490.00",4 Players
Apex Legends,50.,Slovakia,"$4,126.33",2 Players
Apex Legends,51.,Serbia,"$4,087.33",3 Players
Apex Legends,52.,Latvia,"$4,070.00",2 Players
Apex Legends,53.,Yemen,"$3,386.67",1 Player
Apex Legends,54.,Puerto Rico,"$2,735.00",4 Players
Apex Legends,55.,Lithuania,"$2,630.80",3 Players
Apex Legends,56.,Tunisia,"$1,639.67",2 Players
Apex Legends,57.,Greece,"$1,371.00",1 Player
Apex Legends,58.,Pakistan,"$1,350.00",1 Player
Apex Legends,59.,Cyprus,"$1,269.99",4 Players
Apex Legends,60.,Egypt,"$1,040.00",3 Players
Apex Legends,61.,New Zealand,$991.42,3 Players
Apex Legends,62.,Malta,$971.00,1 Player
Apex Legends,63.,India,$910.00,2 Players
Apex Legends,64.,Venezuela,$750.00,1 Player
Apex Legends,65.,"Iran, Islamic Republic of",$740.00,1 Player
Apex Legends,66.,Kazakhstan,$600.00,2 Players
Apex Legends,67.,Aruba,$380.00,1 Player
Apex Legends,68.,Bulgaria,$375.00,1 Player
Apex Legends,69.,Jordan,$330.00,1 Player
Apex Legends,70.,Romania,$253.33,2 Players
Apex Legends,71.,Jamaica,$200.00,1 Player
Apex Legends,72.,--UNDEFINED--,$25.12,1 Player
