rank,country,earning,players
1.,Japan,"$842,250.02",46 Players
2.,Germany,"$674,890.02",82 Players
3.,China,"$559,049.99",34 Players
4.,France,"$422,760.00",17 Players
5.,"Korea, Republic of","$314,500.00",30 Players
6.,Brazil,"$200,376.85",20 Players
7.,Spain,"$180,817.50",15 Players
8.,Finland,"$108,350.00",11 Players
9.,"Taiwan, Republic of China","$97,700.00",11 Players
10.,United States,"$60,162.25",27 Players
11.,Poland,"$46,995.00",2 Players
12.,Mexico,"$41,655.00",1 Player
13.,Chile,"$41,500.00",1 Player
14.,India,"$37,700.00",16 Players
15.,Argentina,"$35,842.50",4 Players
16.,United Kingdom,"$34,000.00",3 Players
17.,Costa Rica,"$21,655.00",1 Player
18.,Ukraine,"$19,500.00",1 Player
19.,Italy,"$15,720.00",3 Players
20.,Russian Federation,"$15,550.00",1 Player
21.,Malaysia,"$15,000.00",2 Players
22.,Czech Republic,"$12,500.00",1 Player
23.,Denmark,"$12,500.00",6 Players
24.,Iraq,"$7,500.00",5 Players
25.,Austria,"$6,000.00",1 Player
26.,Sweden,"$6,000.00",1 Player
27.,Norway,"$3,750.00",5 Players
28.,Netherlands,"$3,000.00",2 Players
29.,Tunisia,"$2,500.00",1 Player
30.,Australia,"$2,250.00",3 Players
31.,Viet Nam,"$1,833.34",3 Players
32.,United Arab Emirates,"$1,500.00",1 Player
33.,Greece,"$1,000.00",1 Player
34.,Turkey,"$1,000.00",1 Player
35.,--UNDEFINED--,$925.00,3 Players
36.,Canada,$750.00,1 Player
37.,Portugal,$125.00,4 Players
38.,Switzerland,$93.75,1 Player
