rank,country,earning,players,tournaments
Arena of Valor,1.,China,"$55,091,253.94",605 Players
Arena of Valor,2.,Thailand,"$5,751,249.41",199 Players
Arena of Valor,3.,Viet Nam,"$4,259,712.81",274 Players
Arena of Valor,4.,"Taiwan, Republic of China","$3,886,080.03",141 Players
Arena of Valor,5.,"Korea, Republic of","$1,462,890.90",66 Players
Arena of Valor,6.,Brazil,"$594,685.81",80 Players
Arena of Valor,7.,Indonesia,"$517,513.89",139 Players
Arena of Valor,8.,Hong Kong,"$383,432.96",19 Players
Arena of Valor,9.,Malaysia,"$335,655.04",61 Players
Arena of Valor,10.,Macao,"$322,234.76",14 Players
Arena of Valor,11.,United States,"$232,593.38",45 Players
Arena of Valor,12.,Turkey,"$227,784.50",67 Players
Arena of Valor,13.,Japan,"$192,457.19",10 Players
Arena of Valor,14.,Myanmar,"$171,772.02",10 Players
Arena of Valor,15.,Germany,"$144,728.32",16 Players
Arena of Valor,16.,Egypt,"$127,000.01",3 Players
Arena of Valor,17.,Uruguay,"$101,380.96",3 Players
Arena of Valor,18.,France,"$69,599.98",13 Players
Arena of Valor,19.,Spain,"$64,364.14",23 Players
Arena of Valor,20.,Argentina,"$64,000.01",10 Players
Arena of Valor,21.,Philippines,"$57,527.97",37 Players
Arena of Valor,22.,Morocco,"$45,666.67",2 Players
Arena of Valor,23.,Peru,"$44,133.34",2 Players
Arena of Valor,24.,Singapore,"$39,187.30",32 Players
Arena of Valor,25.,Italy,"$28,801.69",13 Players
Arena of Valor,26.,Canada,"$25,066.67",3 Players
Arena of Valor,27.,Russian Federation,"$14,190.47",3 Players
Arena of Valor,28.,Netherlands,"$12,104.76",2 Players
Arena of Valor,29.,Romania,"$10,333.33",1 Player
Arena of Valor,30.,Mexico,"$8,857.15",7 Players
Arena of Valor,31.,Ukraine,"$8,221.33",2 Players
Arena of Valor,32.,Chile,"$7,600.00",5 Players
Arena of Valor,33.,Switzerland,"$6,142.86",1 Player
Arena of Valor,34.,Colombia,"$5,380.96",3 Players
Arena of Valor,35.,"Iran, Islamic Republic of","$4,800.00",1 Player
Arena of Valor,36.,Venezuela,"$4,342.86",2 Players
Arena of Valor,37.,Poland,"$3,200.00",2 Players
Arena of Valor,38.,United Kingdom,"$2,500.00",5 Players
Arena of Valor,39.,Sweden,"$2,500.00",5 Players
Arena of Valor,40.,Australia,"$2,000.00",1 Player
Arena of Valor,41.,Syrian Arab Republic,"$2,000.00",1 Player
Arena of Valor,42.,Belgium,"$1,666.67",1 Player
Arena of Valor,43.,India,"$1,000.00",5 Players
