rank,country,earning,players,tournaments
World of WarCraft,1.,United States,"$2,388,937.48",151 Players
World of WarCraft,2.,Germany,"$709,171.89",32 Players
World of WarCraft,3.,Sweden,"$701,697.68",23 Players
World of WarCraft,4.,Canada,"$538,991.69",10 Players
World of WarCraft,5.,United Kingdom,"$447,063.47",21 Players
World of WarCraft,6.,"Korea, Republic of","$405,333.35",51 Players
World of WarCraft,7.,France,"$370,508.33",24 Players
World of WarCraft,8.,Australia,"$350,927.50",41 Players
World of WarCraft,9.,Denmark,"$239,308.27",11 Players
World of WarCraft,10.,New Zealand,"$177,291.67",2 Players
World of WarCraft,11.,Italy,"$145,387.44",1 Player
World of WarCraft,12.,Spain,"$138,600.00",9 Players
World of WarCraft,13.,Slovakia,"$134,550.00",1 Player
World of WarCraft,14.,Finland,"$127,153.57",4 Players
World of WarCraft,15.,Russian Federation,"$123,449.19",8 Players
World of WarCraft,16.,China,"$116,333.32",30 Players
World of WarCraft,17.,Norway,"$115,383.27",4 Players
World of WarCraft,18.,Netherlands,"$55,366.66",5 Players
World of WarCraft,19.,Morocco,"$45,000.00",1 Player
World of WarCraft,20.,Romania,"$44,150.00",1 Player
World of WarCraft,21.,Croatia,"$36,533.33",1 Player
World of WarCraft,22.,"Taiwan, Republic of China","$29,400.01",19 Players
World of WarCraft,23.,Belarus,"$28,783.32",1 Player
World of WarCraft,24.,Brazil,"$23,583.32",11 Players
World of WarCraft,25.,Mexico,"$20,941.67",1 Player
World of WarCraft,26.,Austria,"$18,850.00",5 Players
World of WarCraft,27.,Belgium,"$16,903.57",2 Players
World of WarCraft,28.,Bulgaria,"$15,033.34",4 Players
World of WarCraft,29.,Guatemala,"$13,750.00",1 Player
World of WarCraft,30.,Chile,"$13,500.00",3 Players
World of WarCraft,31.,Hungary,"$9,500.00",2 Players
World of WarCraft,32.,Czech Republic,"$5,400.00",1 Player
World of WarCraft,33.,Iceland,"$5,000.00",1 Player
World of WarCraft,34.,--UNDEFINED--,"$1,100.00",4 Players
World of WarCraft,35.,Ukraine,$37.10,1 Player
