rank,country,earning,players,tournaments
Shadowverse,1.,Japan,"$3,459,756.09",55 Players
Shadowverse,2.,"Taiwan, Republic of China","$1,054,454.55",7 Players
Shadowverse,3.,United States,"$237,518.18",28 Players
Shadowverse,4.,"Korea, Republic of","$213,377.90",8 Players
Shadowverse,5.,China,"$105,102.28",9 Players
Shadowverse,6.,Canada,"$40,300.00",15 Players
Shadowverse,7.,United Kingdom,"$31,271.03",9 Players
Shadowverse,8.,Portugal,"$26,700.00",2 Players
Shadowverse,9.,Indonesia,"$18,900.00",27 Players
Shadowverse,10.,France,"$16,900.00",10 Players
Shadowverse,11.,Singapore,"$11,400.00",15 Players
Shadowverse,12.,Philippines,"$9,127.28",8 Players
Shadowverse,13.,Austria,"$8,518.18",3 Players
Shadowverse,14.,Greece,"$6,718.18",3 Players
Shadowverse,15.,Australia,"$4,100.00",4 Players
Shadowverse,16.,Malaysia,"$3,500.00",3 Players
Shadowverse,17.,New Caledonia,"$3,300.00",1 Player
Shadowverse,18.,Belgium,"$3,100.00",1 Player
Shadowverse,19.,Switzerland,"$3,000.00",1 Player
Shadowverse,20.,Brazil,"$2,700.00",4 Players
Shadowverse,21.,Mexico,"$2,600.00",5 Players
Shadowverse,22.,Poland,"$2,500.00",4 Players
Shadowverse,23.,Germany,"$2,200.00",2 Players
Shadowverse,24.,--UNDEFINED--,"$1,800.00",4 Players
Shadowverse,25.,Bulgaria,"$1,100.00",1 Player
Shadowverse,26.,Russian Federation,"$1,100.00",3 Players
Shadowverse,27.,Finland,"$1,000.00",1 Player
Shadowverse,28.,Chile,$900.00,2 Players
Shadowverse,29.,Uruguay,$900.00,1 Player
Shadowverse,30.,New Zealand,$800.00,1 Player
Shadowverse,31.,Spain,$700.00,1 Player
Shadowverse,32.,Sweden,$700.00,1 Player
Shadowverse,33.,Italy,$600.00,2 Players
Shadowverse,34.,Thailand,$600.00,2 Players
Shadowverse,35.,Denmark,$500.00,1 Player
Shadowverse,36.,Viet Nam,$500.00,1 Player
Shadowverse,37.,Argentina,$300.00,1 Player
Shadowverse,38.,Czech Republic,$300.00,1 Player
Shadowverse,39.,Ukraine,$300.00,1 Player
